Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 1742857231quid (%),Pump Intake Pressure (psi (g)),
East Arta\E-Arta-22.093,05/15/17 - 10:30,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1257,1257,100,491.0,
East Arta\E-Arta-22.094,05/22/17 - 09:22,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,189,189,100,75.7,
East Arta\E-Arta-22.095,05/29/17 - 08:29,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,177,177,100,70.7,
East Arta\E-Arta-22.096,06/19/17 - 08:40,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,244,227,91,88.6,
East Arta\E-Arta-22.097,07/10/17 - 08:52,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1326,1326,100,518.7,
East Arta\E-Arta-22.098,07/26/17 - 09:17,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,193,184,94,73.8,
East Arta\E-Arta-22.099,08/02/17 - 09:38,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,201,185,89,74.2,
East Arta\E-Arta-22.100,08/07/17 - 09:54,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,185,185,100,74.2,
East Arta\E-Arta-22.101,08/14/17 - 08:45,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,216,216,100,86.3,
East Arta\E-Arta-22.102,08/23/17 - 11:08,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,186,186,100,71.7,
East Arta\E-Arta-22.103,09/13/17 - 09:19,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,231,220,94,87.5,
East Arta\E-Arta-22.104,09/25/17 - 08:56,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,163,158,95,63.6,
East Arta\E-Arta-22.105,10/02/17 - 09:35,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,153,144,91,58.1,
East Arta\E-Arta-22.106,10/11/17 - 09:47,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,214,206,95,82.3,
East Arta\E-Arta-22.107,10/25/17 - 09:57,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,137,137,100,55.4,
East Arta\E-Arta-22.108,10/29/17 - 09:59,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,163,163,100,65.6,
East Arta\E-Arta-22.109,11/26/17 - 09:11,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,148,141,93,56.9,
East Arta\E-Arta-22.110,12/04/17 - 10:36,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,238,225,93,89.8,
East Arta\E-Arta-22.111,12/14/17 - 09:15,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,203,203,100,81.5,
