Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-1296773676quid (%),Pump Intake Pressure (psi (g)),
Arta\Arta-26.275,03/02/16 - 08:42,Arta-26,3.500,X,3682.00,3682.00,0.03888,0.03888,3916.00,3916.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1525,1525,100,598.8,
Arta\Arta-26.276,03/04/16 - 08:52,Arta-26,3.500,X,3682.00,3682.00,0.03888,0.03888,3916.00,3916.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1479,1479,100,579.8,
Arta\Arta-26.277,03/10/16 - 10:24,Arta-26,3.500,X,3682.00,3682.00,0.03888,0.03888,3916.00,3916.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1507,1507,100,591.3,
Arta\Arta-26.278,03/16/16 - 09:03,Arta-26,3.500,X,3682.00,3682.00,0.03888,0.03888,3916.00,3916.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1519,1519,100,595.9,
Arta\Arta-26.279,03/23/16 - 08:52,Arta-26,3.500,X,3682.00,3682.00,0.03888,0.03888,3916.00,3916.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1478,1478,100,579.9,
Arta\Arta-26.280,03/26/16 - 09:53,Arta-26,3.500,X,3682.00,3682.00,0.03888,0.03888,3916.00,3916.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1512,1512,100,593.5,
Arta\Arta-26.281,03/27/16 - 10:16,Arta-26,3.500,X,3682.00,3682.00,0.03888,0.03888,3916.00,3916.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1494,1494,100,586.4,
Arta\Arta-26.282,03/28/16 - 08:04,Arta-26,3.500,X,3682.00,3682.00,0.03888,0.03888,3916.00,3916.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1517,1517,100,595.3,
Arta\Arta-26.283,03/29/16 - 08:07,Arta-26,3.500,X,3682.00,3682.00,0.03888,0.03888,3916.00,3916.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1618,1618,100,634.8,
Arta\Arta-26.284,03/30/16 - 09:22,Arta-26,3.500,X,3682.00,3682.00,0.03888,0.03888,3916.00,3916.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1512,1428,94,560.8,
Arta\Arta-26.285,03/31/16 - 09:30,Arta-26,3.500,X,3682.00,3682.00,0.03888,0.03888,3916.00,3916.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1489,1489,100,584.1,
Arta\Arta-27.317,01/02/16 - 08:05,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1545,1545,100,604.9,
Arta\Arta-27.318,01/05/16 - 08:21,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1570,1570,100,600.0,
Arta\Arta-27.319,01/06/16 - 09:30,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1527,1454,95,570.8,
Arta\Arta-27.320,01/08/16 - 08:58,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1510,1510,100,586.8,
Arta\Arta-27.321,01/10/16 - 09:05,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1525,1525,100,597.5,
Arta\Arta-27.322,01/12/16 - 08:59,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1516,1516,100,593.7,
Arta\Arta-27.323,01/13/16 - 09:05,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1557,1557,100,609.7,
Arta\Arta-27.324,01/20/16 - 10:13,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1588,1588,100,621.2,
Arta\Arta-27.325,01/27/16 - 09:16,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1515,1515,100,593.4,
Arta\Arta-27.326,02/02/16 - 08:29,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1473,1473,100,577.2,
Arta\Arta-27.327,02/03/16 - 09:13,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1513,1513,100,613.8,
Arta\Arta-27.328,02/04/16 - 10:07,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1473,1473,100,598.1,
Arta\Arta-27.329,02/10/16 - 09:14,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1421,1421,100,556.9,
Arta\Arta-27.330,02/17/16 - 09:07,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1422,1422,100,556.9,
Arta\Arta-27.331,02/26/16 - 08:13,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1415,1415,100,554.7,
Arta\Arta-27.332,03/04/16 - 08:46,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1429,1429,100,559.1,
Arta\Arta-27.333,03/10/16 - 10:18,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1380,1380,100,541.2,
Arta\Arta-27.334,03/16/16 - 08:55,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1618,1618,100,633.7,
Arta\Arta-27.335,03/23/16 - 08:45,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1498,1498,100,586.7,
Arta\Arta-27.336,03/30/16 - 09:28,Arta-27,3.500,X,3587.00,3587.00,0.03587,0.03587,3684.00,3684.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1518,1518,100,595.0,
Arta\Arta-28.124,01/03/16 - 09:09,Arta-28,3.500,1.750,3690.00,3690.00,0.03694,0.03694,3692.00,3692.00,X,19,1.05,X,X,84.499,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,900,831,92,326.0,
Arta\Arta-28.125,01/25/16 - 09:10,Arta-28,3.500,1.750,3690.00,3690.00,0.03694,0.03694,3692.00,3692.00,X,19,1.05,X,X,84.499,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1654,1538,93,604.9,
Arta\Arta-28.126,01/26/16 - 08:24,Arta-28,3.500,1.750,3690.00,3690.00,0.03694,0.03694,3692.00,3692.00,X,19,1.05,X,X,144.153,X,01/26/16 - 08:34,12518,6741,4342,-794,2.7,137.3,2.995,8.77,12.0,12.9,793.7,X,6,10742,7445,7818,4038,985,985,100,386.2,
Arta\Arta-28.127,02/07/16 - 10:04,Arta-28,3.500,1.750,3690.00,3690.00,0.03694,0.03694,3692.00,3692.00,X,19,1.05,X,X,144.153,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,914,914,100,358.6,
Arta\Arta-28.128,02/12/16 - 08:26,Arta-28,3.500,1.750,3690.00,3690.00,0.03694,0.03694,3692.00,3692.00,X,19,1.05,X,X,144.153,X,02/12/16 - 08:41,13108,6711,4848,-809,2.9,136.0,3.010,8.68,11.8,12.7,808.7,X,0,10958,7445,6263,4038,926,926,100,363.5,
Arta\Arta-28.129,02/21/16 - 08:59,Arta-28,3.500,1.750,3690.00,3690.00,0.03694,0.03694,3692.00,3692.00,X,19,1.05,X,X,144.153,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,936,915,98,358.1,
Arta\Arta-28.130,03/20/16 - 08:52,Arta-28,3.500,1.750,3690.00,3690.00,0.03694,0.03694,3692.00,3692.00,X,19,1.05,X,X,144.153,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1006,1006,100,394.4,
