Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 716680292quid (%),Pump Intake Pressure (psi (g)),
Arta\Arta-24.001,06/21/17 - 09:01,Arta-24,3.500,X,3707.00,3707.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,123.734,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1403,1086,77,424.8,
Arta\Arta-24.002,07/01/17 - 08:34,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1294,1294,100,510.1,
Arta\Arta-24.003,07/03/17 - 15:23,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1336,1162,87,458.2,
Arta\Arta-24.004,07/05/17 - 08:57,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1290,1290,100,509.0,
Arta\Arta-24.005,07/07/17 - 09:13,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1298,1298,100,511.3,
Arta\Arta-24.006,07/08/17 - 09:02,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1305,1305,100,513.4,
Arta\Arta-24.007,07/12/17 - 08:54,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1250,1250,100,491.4,
Arta\Arta-24.008,07/20/17 - 09:57,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1241,1203,97,472.7,
Arta\Arta-24.009,07/24/17 - 08:48,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1869,1412,76,557.2,
Arta\Arta-24.010,07/31/17 - 08:45,Arta-24,3.500,X,3661.00,3661.00,0.03674,0.03674,3754.00,3754.00,X,19,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1142,1142,100,448.4,
