Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-1040455237quid (%),Pump Intake Pressure (psi (g)),
East Arta\E-Arta-21.184,09/13/16 - 10:11,E-Arta-21,3.500,2.750,4135.00,4135.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,299,179,57,73.7,
East Arta\E-Arta-21.185,09/13/16 - 10:44,E-Arta-21,3.500,2.750,4135.00,4135.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,144.000,X,09/13/16 - 10:44,29416,5096,13538,-0,34.7,126.1,8.571,85.98,108.5,819.7,0.0,X,0,21135,10411,15436,11175,X,X,X,X,
East Arta\E-Arta-21.186,09/19/16 - 09:03,E-Arta-21,3.500,2.750,4135.00,4135.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,243,147,57,60.1,
East Arta\E-Arta-21.187,09/29/16 - 10:13,E-Arta-21,3.500,2.750,4135.00,4135.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,703,632,90,247.1,
East Arta\E-Arta-21.188,10/06/16 - 09:58,E-Arta-21,3.500,2.750,4135.00,4135.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,144.000,X,10/06/16 - 10:12,29447,4260,13606,-77,34.4,128.5,8.571,82.76,106.3,803.7,76.5,X,0,22070,10411,20995,11175,465,350,74,138.5,
East Arta\E-Arta-21.189,10/10/16 - 08:21,E-Arta-21,3.500,2.750,4135.00,4135.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,394,278,69,109.8,
East Arta\E-Arta-21.190,10/18/16 - 08:37,E-Arta-21,3.500,2.750,4135.00,4135.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,144.000,X,10/18/16 - 08:37,30767,5209,14894,-159,38.4,124.8,8.571,90.23,112.6,851.0,159.4,X,0,23595,10411,14016,11175,342,251,72,99.9,
East Arta\E-Arta-21.191,11/07/16 - 08:54,E-Arta-21,3.500,2.750,4135.00,4135.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,166,114,65,48.9,
East Arta\E-Arta-21.192,11/15/16 - 08:35,E-Arta-21,3.500,2.750,4135.00,4135.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,576,495,85,193.6,
East Arta\E-Arta-21.193,11/21/16 - 09:08,E-Arta-21,3.500,2.750,4135.00,4135.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,198,139,68,56.4,
East Arta\E-Arta-21.194,11/22/16 - 08:26,E-Arta-21,3.500,2.750,4135.00,4135.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,144.000,X,11/22/16 - 08:37,14163,8694,1166,-238,8.7,146.7,8.738,84.63,124.2,956.7,237.7,X,26,12433,10411,11581,11175,1444,1444,100,563.6,
East Arta\E-Arta-21.195,12/04/16 - 09:40,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,12/04/16 - 09:51,30870,5632,14557,-838,39.8,124.4,8.531,94.43,117.4,883.4,838.4,2313501.2,0,21570,10418,17972,11255,817,709,86,277.0,
East Arta\E-Arta-21.196,12/09/16 - 09:47,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,530,420,77,164.6,
East Arta\E-Arta-21.197,12/31/16 - 14:22,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,12/31/16 - 14:36,30399,4523,15358,-5234,43.0,125.3,8.531,96.99,121.5,914.2,5234.2,2287530.9,28,19430,10418,16048,11255,826,737,89,288.5,
