Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 1343664010quid (%),Pump Intake Pressure (psi (g)),
AG 4-12,09/23/11 - 09:29,AG 4-12,3.500,1.750,5734.00,5734.00,0.05367,0.05367,5734.00,5734.00,X,15,1.03,X,912000,92.765,62,09/23/11 - 09:48,21399,9476,3236,-1602,11.3,89.9,9.326,96.40,86.7,288.6,1601.9,287573.5,64,15896,14365,14317,6275,1772,1401,79,561.6,
AG 4-12,05/08/12 - 09:02,AG 4-12,3.500,2.250,5734.00,5734.00,0.05367,0.05367,5734.00,5734.00,X,15,1.03,X,912000,100.452,62,05/08/12 - 09:17,25013,9776,7437,-1278,13.6,85.8,7.258,95.41,81.9,350.7,1277.8,380236.5,52,19399,14365,14242,10373,1967,1721,87,691.3,
AG 4-12,07/18/12 - 06:26,AG 4-12,3.500,2.250,5734.00,5734.00,0.05367,0.05367,5734.00,5734.00,X,15,1.03,X,912000,100.452,62,07/18/12 - 06:50,24478,9233,6838,-1804,13.6,86.2,7.287,95.22,82.1,353.0,1804.4,391738.9,55,17969,14365,14397,10373,1936,1936,100,1263.1,
AG 4-12,09/25/12 - 17:06,AG 4-12,3.500,2.250,5734.00,5734.00,0.05367,0.05367,5734.00,5734.00,X,15,1.03,X,912000,100.452,62,09/25/12 - 18:07,20632,11467,4097,-435,7.9,93.5,7.200,91.10,85.1,361.8,435.5,209590.2,48,16598,14365,14827,10373,1975,1975,100,783.4,
AG 4-12,12/31/12 - 15:09,AG 4-12,3.500,2.250,5734.00,5734.00,0.05367,0.05367,5734.00,5734.00,X,15,1.03,X,912000,100.452,62,12/31/12 - 15:27,24699,9444,6975,-1394,13.8,88.4,7.377,95.51,84.4,367.7,1393.6,409843.0,60,18379,14365,15101,10373,1970,1970,100,783.1,
AGHAR FIELD\AG 4-13.001,09/23/11 - 10:10,AG 4-13,3.500,1.750,5509.00,5509.00,0.052545,0.052545,5509.00,5509.00,X,15,1.03,X,640000,106.868,62,09/23/11 - 10:31,22419,7573,6319,-4729,10.6,92.6,6.228,43.02,39.9,88.6,4729.2,457098.5,26,17999,13801,12171,6029,175,172,98,72.3,
AG 4-13,05/08/12 - 08:30,AG 4-13,3.500,1.750,5509.00,5509.00,0.052545,0.052545,5509.00,5509.00,X,15,1.03,X,640000,111.851,62,05/08/12 - 08:45,22454,7499,6258,-4741,11.0,97.1,6.272,41.73,40.5,90.7,4741.2,403895.6,44,17920,13801,12160,6029,239,239,100,119.8,
AG 4-13,07/19/12 - 07:05,AG 4-13,3.500,1.750,5509.00,5509.00,0.052545,0.052545,5509.00,5509.00,X,15,1.03,X,640000,111.851,62,07/19/12 - 07:23,22471,7308,6253,-4897,11.4,97.2,6.228,44.71,43.4,96.6,4897.4,436625.0,46,18026,13801,12509,6029,208,208,100,87.4,
AG 4-13,09/25/12 - 16:20,AG 4-13,3.500,1.750,5509.00,5509.00,0.052545,0.052545,5509.00,5509.00,X,15,1.03,X,640000,111.851,62,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,113,113,100,48.2,
AG 4-13,10/01/12 - 10:38,AG 4-13,3.500,1.750,5509.00,5509.00,0.052545,0.052545,5509.00,5509.00,X,15,1.03,X,640000,111.851,62,10/01/12 - 10:48,21438,11790,5812,-806,7.5,102.7,6.143,52.67,54.1,118.7,805.6,376638.5,38,15483,13801,13068,6029,X,X,X,X,
AG 4-13,01/02/13 - 12:16,AG 4-13,3.500,1.750,5509.00,5509.00,0.052545,0.052545,5509.00,5509.00,X,15,1.03,X,640000,111.851,62,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,235,205,87,87.1,
AG 4-13,01/02/13 - 15:13,AG 4-13,3.500,1.750,5509.00,5509.00,0.052545,0.052545,5509.00,5509.00,X,15,1.03,X,640000,111.851,62,01/02/13 - 15:13,21778,7266,6197,-4925,9.7,97.3,4.878,57.62,56.0,97.6,4924.9,423388.0,45,17911,13801,11767,6029,X,X,X,X,
AG 4-13,04/19/13 - 09:48,AG 4-13,3.500,1.750,5509.00,5509.00,0.052545,0.052545,5509.00,5509.00,X,15,1.03,X,640000,111.851,62,04/19/13 - 09:48,21469,7416,6064,-4886,9.1,96.2,4.878,51.76,49.8,86.7,4885.8,413191.2,45,17894,13801,11939,6029,308,214,70,91.9,
AG 4-13,08/27/13 - 07:21,AG 4-13,3.500,1.750,5509.00,5509.00,0.052545,0.052545,5509.00,5509.00,X,15,1.03,X,640000,111.851,62,08/27/13 - 07:21,22290,7557,6607,-4972,12.0,95.6,6.102,46.89,44.8,97.7,4972.4,434985.6,53,18581,13801,12322,6029,X,X,X,X,
AG 4-13,12/28/13 - 11:22,AG 4-13,3.500,1.750,5509.00,5509.00,0.052545,0.052545,5509.00,5509.00,X,15,1.03,X,640000,111.851,62,12/28/13 - 11:30,22472,7680,6639,-4968,11.4,96.6,6.102,45.23,43.7,95.2,4967.7,395692.2,48,18002,13801,12206,6029,X,X,X,X,
AG 4-14,09/24/11 - 10:47,AG 4-14,3.500,2.875,5817.00,5817.00,0.054085,0.054085,5817.00,5817.00,X,15,1.03,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,318,318,100,129.7,
AG 4-14,07/17/12 - 18:49,AG 4-14,3.500,2.875,5817.00,5817.00,0.054085,0.054085,5817.00,5817.00,X,15,1.03,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1259,1259,100,508.3,
AG 4-14,09/26/12 - 08:49,AG 4-14,3.500,2.875,5817.00,5817.00,0.054085,0.054085,5817.00,5817.00,X,15,1.03,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1292,1173,91,479.5,
AG 4-14,12/31/12 - 12:03,AG 4-14,3.500,2.250,5500.00,5500.00,0.054085,0.054085,5500.00,5500.00,X,15,1.03,X,912000,144.000,62,12/31/12 - 12:26,27280,11982,11177,-1358,9.7,118.1,5.014,27.20,32.1,95.1,1358.2,742945.9,52,23531,13778,13800,9950,65,65,100,30.0,
AG 4-14,04/16/13 - 11:28,AG 4-14,3.500,1.750,5632.00,5632.00,0.054085,0.054085,5732.00,5732.00,X,15,1.03,X,912000,144.000,62,04/16/13 - 11:46,23071,9352,8834,-812,9.6,124.7,5.099,27.13,33.8,61.6,812.4,559346.5,53,19900,12438,13667,6164,97,74,76,38.8,
AG 4-14,12/29/13 - 09:10,AG 4-14,3.500,1.750,5632.00,5632.00,0.054085,0.054085,5732.00,5732.00,X,15,1.03,X,912000,144.000,62,12/29/13 - 09:10,22961,7167,9235,-2552,13.5,127.4,5.042,47.30,60.3,108.5,2551.8,577010.1,42,19408,12438,13161,6164,X,X,X,X,
AG 4-14,12/30/13 - 13:52,AG 4-14,3.500,1.750,5632.00,5632.00,0.054085,0.054085,5732.00,5732.00,X,15,1.03,X,912000,144.000,62,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,375,316,84,130.0,
AGHAR FIELD\AG 4-15.001,09/25/11 - 08:02,AG 4-15,3.500,2.875,5817.00,5817.00,0.054085,0.054085,5817.00,5817.00,X,15,1.03,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1374,1374,100,555.2,
AG 4-15,05/08/12 - 07:03,AG 4-15,3.500,2.875,5817.00,5817.00,0.054085,0.054085,5817.00,5817.00,X,15,1.03,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,430,430,100,177.0,
AG 4-15,07/18/12 - 10:49,AG 4-15,3.500,2.875,5817.00,5817.00,0.054085,0.054085,5817.00,5817.00,X,15,1.03,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,168,125,74,50.7,
AG 4-15,09/29/12 - 16:53,AG 4-15,3.500,2.875,5781.00,5781.00,0.054085,0.054085,5781.00,5781.00,X,15,1.03,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,139,113,82,48.3,
AG 4-15,01/01/13 - 12:33,AG 4-15,3.500,2.875,5781.00,5781.00,0.054085,0.054085,5781.00,5781.00,X,15,1.03,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,337,318,95,130.9,
AG 4-15,12/29/13 - 10:12,AG 4-15,3.500,1.750,5781.00,5781.00,0.054085,0.054085,5781.00,5781.00,X,15,1.03,X,640000,100.452,X,12/29/13 - 10:12,20371,8694,2970,-3341,6.9,87.1,7.317,47.36,41.2,107.8,3340.7,331756.9,51,16639,14467,13057,6327,X,X,X,X,
AG 4-15,12/29/13 - 14:21,AG 4-15,3.500,1.750,5781.00,5781.00,0.054085,0.054085,5781.00,5781.00,X,15,1.03,X,640000,100.452,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,190,190,100,79.0,
