Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 216223759quid (%),Pump Intake Pressure (psi (g)),
Hana\Hana-10.040,04/27/13 - 09:16,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1636,1636,100,606.0,
Hana\Hana-10.041,05/01/13 - 08:50,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1561,1495,96,555.6,
Hana\Hana-10.042,05/04/13 - 09:30,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1530,1530,100,565.5,
Hana\Hana-10.043,05/08/13 - 10:11,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1642,1642,100,606.8,
Hana\Hana-10.044,05/11/13 - 07:54,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1468,1468,100,543.8,
Hana\Hana-10.045,05/15/13 - 08:56,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1688,1688,100,623.6,
Hana\Hana-10.046,05/18/13 - 07:06,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1575,1387,87,514.0,
Hana\Hana-10.047,05/18/13 - 14:13,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1543,1543,100,571.9,
Hana\Hana-10.048,05/22/13 - 09:19,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1473,1473,100,546.5,
Hana\Hana-10.049,06/05/13 - 07:55,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1706,1706,100,624.7,
