Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-797585780quid (%),Pump Intake Pressure (psi (g)),
Hana\Hana-16   (3).006,02/24/18 - 08:46,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1972,1972,100,738.3,
Hana\Hana-16   (3).007,03/03/18 - 09:09,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1920,1920,100,718.8,
Hana\Hana-16   (3).008,04/10/18 - 10:01,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2191,2191,100,818.7,
Hana\Hana-16   (3).009,05/26/18 - 08:31,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1905,1846,97,692.1,
Hana\Hana-16   (3).010,06/02/18 - 10:48,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1866,1866,100,699.2,
Hana\Hana-16   (3).011,06/23/18 - 14:35,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1846,1846,100,691.9,
Hana\Hana-16   (3).012,07/14/18 - 16:21,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1776,1663,93,624.2,
Hana\Hana-16   (3).013,08/04/18 - 10:08,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1768,1655,93,20384.6,
Hana\Hana-16   (3).014,08/04/18 - 10:12,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,08/04/18 - 10:21,23064,7096,9786,-415,20.3,132.0,6.429,96.91,127.9,725.1,415.5,X,0,21279,10922,16619,13382,1756,1756,100,658.6,
Hana\Hana-16   (3).015,08/08/18 - 15:46,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1820,1820,100,682.2,
