Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 1343664010quid (%),Pump Intake Pressure (psi (g)),
Hana-West\Hana-W-10 new.182,03/30/18 - 14:52,Hana-W-10 new,3.500,3.750,2962.00,2962.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Hana-West\Hana-W-10 new.183,04/06/18 - 11:40,Hana-W-10 new,3.500,3.750,2962.00,2962.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1586,1586,100,608.2,
Hana-West\Hana-W-10 new.184,04/08/18 - 16:52,Hana-W-10 new,3.500,3.750,2962.00,2962.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,75,04/08/18 - 17:37,21474,4863,13004,260,19.0,133.4,5.233,99.34,132.5,1136.7,260.3,X,0,14529,7733,9809,14792,X,X,X,X,
Hana-West\Hana-W-10 new.185,04/21/18 - 10:38,Hana-W-10 new,3.500,3.750,2962.00,2962.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1461,1461,100,560.9,
Hana-West\Hana-W-10 new.186,06/16/18 - 09:59,Hana-W-10 new,3.500,3.750,2962.00,2962.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1462,1462,100,561.4,
Hana-West\Hana-W-10 new.187,06/23/18 - 14:41,Hana-W-10 new,3.500,3.750,2962.00,2962.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1507,1507,100,578.5,
Hana-West\Hana-W-10 new.188,07/02/18 - 16:29,Hana-W-10 new,3.500,3.750,2962.00,2962.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,75,07/02/18 - 16:41,19511,4330,10955,-605,16.5,136.6,5.263,99.61,136.1,1174.7,604.6,X,0,10345,7733,7214,14792,1567,1567,100,601.4,
Hana-West\Hana-W-10 new.189,07/14/18 - 16:16,Hana-W-10 new,3.500,3.750,2962.00,2962.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1477,1477,100,567.3,
Hana-West\Hana-W-10 new.190,08/05/18 - 11:09,Hana-W-10 new,3.500,3.750,2962.00,2962.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,75,08/05/18 - 11:19,19851,4924,11061,-281,18.0,137.0,5.325,100.00,137.0,1196.1,281.1,X,0,5404,7733,1366,14792,1538,1538,100,590.5,
Hana-West\Hana-W-10 new.191,08/11/18 - 14:22,Hana-W-10 new,3.500,3.750,2962.00,2962.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1561,1561,100,599.2,
